"GEO_ID","NAME","total_pop","P001002","white_pop","black_pop","P001005","asian_pop","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"id","Geographic Area Name","","Total!!Population of one race","","","Total!!Population of one race!!American Indian and Alaska Native alone","","Total!!Population of one race!!Native Hawaiian and Other Pacific Islander alone","Total!!Population of one race!!Some Other Race alone","Total!!Two or More Races","Total!!Two or More Races!!Population of two races","Total!!Two or More Races!!Population of two races!!White; Black or African American","Total!!Two or More Races!!Population of two races!!White; American Indian and Alaska Native","Total!!Two or More Races!!Population of two races!!White; Asian","Total!!Two or More Races!!Population of two races!!White; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!White; Some Other Race","Total!!Two or More Races!!Population of two races!!Black or African American; American Indian and Alaska Native","Total!!Two or More Races!!Population of two races!!Black or African American; Asian","Total!!Two or More Races!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!Black or African American; Some Other Race","Total!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!Asian; Some Other Race","Total!!Two or More Races!!Population of two races!!Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races","Total!!Two or More Races!!Population of three races!!White; Black or African American; American Indian and Alaska Native","Total!!Two or More Races!!Population of three races!!White; Black or African American; Asian","Total!!Two or More Races!!Population of three races!!White; Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!White; Black or African American; Some Other Race","Total!!Two or More Races!!Population of three races!!White; American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of three races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!White; American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of three races!!White; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!White; Asian; Some Other Race","Total!!Two or More Races!!Population of three races!!White; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races!!Black or African American; American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of three races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!Black or African American; American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of three races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!Black or African American; Asian; Some Other Race","Total!!Two or More Races!!Population of three races!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of three races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races","Total!!Two or More Races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of four races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!White; Black or African American; Asian; Some Other Race","Total!!Two or More Races!!Population of four races!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!White; American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of four races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of four races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races","Total!!Two or More Races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of six races","Total!!Two or More Races!!Population of six races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"1400000US42101000100","Census Tract 1, Philadelphia County, Pennsylvania","","3399","","","8","","2","35","79","74","14","9","35","1","6","0","2","0","1","0","0","0","1","5","0","5","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000200","Census Tract 2, Philadelphia County, Pennsylvania","","2892","","","3","","1","26","45","38","9","2","16","0","1","2","3","0","0","0","0","0","3","2","0","7","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000300","Census Tract 3, Philadelphia County, Pennsylvania","","3084","","","1","","1","39","85","77","13","4","51","1","5","0","0","0","0","0","0","0","0","3","0","8","3","1","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000401","Census Tract 4.01, Philadelphia County, Pennsylvania","","2055","","","11","","0","20","70","64","6","6","32","0","2","6","2","0","5","0","0","0","1","4","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000402","Census Tract 4.02, Philadelphia County, Pennsylvania","","3100","","","4","","4","26","42","42","2","3","22","1","7","1","2","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000500","Census Tract 5, Philadelphia County, Pennsylvania","","2269","","","12","","2","56","60","57","15","2","21","0","7","3","2","1","1","1","0","0","1","3","0","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000600","Census Tract 6, Philadelphia County, Pennsylvania","","1708","","","1","","0","48","73","68","34","3","7","4","4","6","3","3","1","0","0","0","0","3","0","4","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000700","Census Tract 7, Philadelphia County, Pennsylvania","","2999","","","6","","0","33","83","65","11","5","30","0","4","4","4","0","0","0","0","0","2","5","0","18","3","1","0","0","10","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000801","Census Tract 8.01, Philadelphia County, Pennsylvania","","1528","","","4","","4","13","34","30","6","1","16","0","0","1","1","0","0","0","0","0","0","5","0","4","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000803","Census Tract 8.03, Philadelphia County, Pennsylvania","","3519","","","2","","3","13","82","79","13","3","36","0","6","2","0","0","0","2","0","0","14","3","0","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000804","Census Tract 8.04, Philadelphia County, Pennsylvania","","3536","","","1","","1","26","73","68","17","13","29","0","7","0","0","0","0","0","0","0","0","2","0","5","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000901","Census Tract 9.01, Philadelphia County, Pennsylvania","","2200","","","4","","1","40","76","71","13","6","39","1","7","3","0","0","0","0","0","0","0","2","0","4","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101000902","Census Tract 9.02, Philadelphia County, Pennsylvania","","2703","","","3","","2","17","70","60","12","1","29","2","9","2","2","0","0","0","0","0","0","3","0","10","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001001","Census Tract 10.01, Philadelphia County, Pennsylvania","","2568","","","0","","0","18","35","30","8","4","12","1","2","0","0","1","0","0","0","0","2","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001002","Census Tract 10.02, Philadelphia County, Pennsylvania","","3538","","","5","","2","33","74","69","13","5","34","0","6","3","2","0","0","1","0","0","0","5","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001101","Census Tract 11.01, Philadelphia County, Pennsylvania","","3489","","","3","","3","21","97","87","22","17","22","1","3","11","1","0","6","1","0","0","1","2","0","8","5","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001102","Census Tract 11.02, Philadelphia County, Pennsylvania","","2573","","","3","","1","20","86","78","19","4","30","0","9","3","1","0","4","0","0","0","0","8","0","8","6","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001201","Census Tract 12.01, Philadelphia County, Pennsylvania","","3692","","","6","","1","33","86","78","17","11","41","0","4","0","1","0","0","0","0","0","2","2","0","8","1","3","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001202","Census Tract 12.02, Philadelphia County, Pennsylvania","","4999","","","9","","3","45","138","131","30","17","65","0","9","3","1","0","1","0","0","0","4","1","0","7","5","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US42101001300","Census Tract 13, Philadelphia County, Pennsylvania","","4780","","","13","","1","54","162","146","52","7","42","1","11","8","14","1","8","0","0","0","0","2","0","16","6","4","0","2","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
